Field,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21),,,,,,,,,,,
ECON,International Journal of Economic Theory,2,2,317,283,278,249,37%,43%,27%,0.175,,,,,,,,,,,
ECON,International Journal of Game Theory,2,2,271,254,187,239,5%,56%,17%,0.051,,,,,,,,,,,
ECON,International Journal of Health Economics and Management,2,2,213,267,205,,56%,34%,33%,0.894,,,,,,,,,,,
ECON,International Journal of the Economics of Business,2,2,258,266,253,,35%,30%,12%,1.078,,,,,,,,,,,
ECON,International Review of Economics and Finance,2,2,85,115,138,91,51%,49%,14%,0.302,,,,,,,,,,,
ECON,International Review of Environmental and Resource Economics,2,2,75,117,113,,88%,46%,29%,1.531,,,,,,,,,,,
ECON,International Review of Law and Economics,2,2,240,219,213,192,38%,40%,29%,0.468,,,,,,,,,,,
ECON,Journal of African Economies,2,2,160,175,162,146,94%,62%,40%,3.452,,,,,,,,,,,
ECON,Journal of Agrarian Change,2,2,47,41,61,57,78%,47%,14%,0.899,,,,,,,,,,,
ECON,Journal of Agricultural and Resource Economics,2,2,175,158,166,135,43%,24%,25%,0.022,,,,,,,,,,,
ECON,Journal of Applied Probability,2,2,240,201,169,210,5%,48%,20%,0.003,,,,,,,,,,,
ECON,Journal of Applied Statistics,2,2,205,212,203,194,16%,32%,19%,0.07,,,,,,,,,,,
ECON,Journal of Behavioral and Experimental Economics,2,2,172,223,160,155,23%,37%,19%,0.536,,,,,,,,,,,
ECON,Journal of Business Economics,2,2,104,162,184,,33%,22%,18%,0.333,,,,,,,,,,,
ECON,Journal of Cultural Economics,2,2,83,63,136,103,37%,42%,25%,0.713,,,,,,,,,,,
ECON,Journal of Economic Inequality,2,2,147,78,122,115,89%,55%,39%,3.847,,,,,,,,,,,
ECON,Journal of Economic Issues,2,2,279,247,242,220,58%,22%,7%,0.168,,,,,,,,,,,
ECON,Journal of Economic Methodology,2,2,168,92,196,129,12%,39%,14%,0.07,,,,,,,,,,,
ECON,Journal of Economic Studies,2,2,151,166,192,,79%,36%,16%,0.267,,,,,,,,,,,
ECON,Journal of Economic Surveys,2,2,26,23,65,34,49%,37%,21%,5.829,,,,,,,,,,,
ECON,Journal of Economics/ Zeitschrift fur Nationalokonomie,2,2,212,183,200,158,39%,45%,17%,0.148,,,,,,,,,,,
ECON,Journal of Evolutionary Economics,2,2,121,165,159,136,56%,50%,25%,0.697,,,,,,,,,,,
ECON,Journal of Family and Economic Issues,2,2,151,171,188,94,59%,23%,17%,0.629,,,,,,,,,,,
ECON,Journal of Forest Economics,2,2,78,187,168,107,73%,34%,28%,0.569,,,,,,,,,,,
ECON,Journal of Housing Economics,2,2,133,107,137,97,78%,31%,21%,4.458,,,,,,,,,,,
ECON,Journal of Industry Competition and Trade,2,2,258,278,265,,53%,31%,17%,1.268,,,,,,,,,,,
ECON,Journal of Institutional and Theoretical Economics,2,2,263,324,289,248,24%,36%,16%,0.158,,,,,,,,,,,
ECON,Journal of International Development,2,2,134,146,174,149,89%,47%,22%,1.43,,,,,,,,,,,
ECON,Journal of Macroeconomics,2,2,168,172,147,160,73%,41%,22%,3.608,,,,,,,,,,,
ECON,Journal of Nonparametric Statistics,2,2,262,176,149,200,87%,43%,19%,0.015,,,,,,,,,,,
ECON,Journal of Policy Modeling,2,2,114,86,125,118,77%,44%,25%,2.008,,,,,,,,,,,
ECON,Journal of Post Keynesian Economics,2,2,233,167,173,213,60%,31%,13%,0.543,,,,,,,,,,,
ECON,Journal of Productivity Analysis,2,2,91,95,118,92,47%,66%,21%,0.477,,,,,,,,,,,
ECON,Journal of Public Economic Theory,2,2,181,157,131,203,39%,56%,24%,0.792,,,,,,,,,,,
ECON,Journal of Regulatory Economics,2,2,190,225,185,170,48%,45%,24%,1.122,,,,,,,,,,,
ECON,Journal of Statistical Planning and Inference,2,2,219,169,123,197,5%,36%,21%,0.032,,,,,,,,,,,
ECON,Journal of the Economics of Ageing,2,2,139,118,172,113,72%,42%,40%,1.56,,,,,,,,,,,
ECON,Journal of the Japanese and International Economies,2,2,196,206,202,179,59%,34%,35%,1.322,,,,,,,,,,,
ECON,Journal of Time Series Econometrics,2,2,331,317,313,,10%,31%,15%,0.25,,,,,,,,,,,
ECON,Macroeconomic Dynamics,2,2,252,193,132,190,66%,43%,21%,2.033,,,,,,,,,,,
ECON,Managerial and Decision Economics,2,2,246,257,260,185,28%,33%,16%,0.115,,,,,,,,,,,
ECON,Manchester School,2,2,246,259,247,227,53%,47%,19%,1.906,,,,,,,,,,,
ECON,Mathematical Social Sciences,2,2,252,213,183,235,13%,49%,29%,0.069,,,,,,,,,,,
ECON,National Tax Journal,2,2,194,224,144,178,72%,17%,27%,3.412,,,,,,,,,,,
ECON,Networks and Spatial Economics,2,2,39,90,87,60,56%,44%,25%,0.109,,,,,,,,,,,
ECON,North American Journal of Economics and Finance,2,2,134,164,175,116,40%,39%,17%,0.371,,,,,,,,,,,
ECON,Open Economies Review,2,2,171,136,153,169,60%,54%,36%,3.481,,,,,,,,,,,
ECON,Oxford Development Studies,2,2,123,132,170,,95%,56%,26%,2.329,,,,,,,,,,,
ECON,Oxford Review of Economic Policy,2,2,23,37,76,48,71%,47%,27%,8.468,,,,,,,,,,,
ECON,Pacific Economic Review,2,2,261,269,251,225,74%,54%,24%,0.646,,,,,,,,,,,
ECON,PharmacoEconomics,2,2,24,67,66,29,46%,46%,58%,1.121,,,,,,,,,,,
ECON,Quarterly Review of Economics and Finance,2,2,131,152,182,53,50%,39%,16%,0.521,,,,,,,,,,,
ECON,Rationality and Society,2,2,246,260,245,199,28%,45%,17%,0.315,,,,,,,,,,,
ECON,Resource and Energy Economics,2,2,59,126,81,61,75%,42%,35%,1.296,,,,,,,,,,,
ECON,Resources Policy,2,2,32,55,97,26,67%,45%,23%,0.573,,,,,,,,,,,
ECON,Review of Behavioral Economics,2,2,,,,,26%,55%,14%,0.14,,,,,,,,,,,
ECON,Review of Development Economics,2,2,232,252,225,201,87%,51%,26%,1.342,,,,,,,,,,,
ECON,Review of Economic Design,2,2,317,285,254,247,11%,58%,18%,0.073,,,,,,,,,,,
ECON,Review of Economics of the Household,2,2,131,137,108,142,72%,33%,23%,4.126,,,,,,,,,,,
ECON,Review of Environmental Economics and Policy,2,2,6,20,34,,59%,38%,34%,12.314,,,,,,,,,,,
ECON,Review of Industrial Organization,2,2,236,221,199,206,22%,38%,23%,0.882,,,,,,,,,,,
ECON,Review of International Economics,2,2,192,147,151,162,52%,47%,30%,2.314,,,,,,,,,,,
ECON,Review of Law and Economics,2,2,322,323,323,,30%,27%,16%,0.151,,,,,,,,,,,
ECON,Review of Network Economics,2,2,307,301,323,237,40%,39%,27%,0.444,,,,,,,,,,,
ECON,Review of Political Economy,2,2,231,239,204,,49%,30%,16%,0.394,,,,,,,,,,,
ECON,Review of World Economics,2,2,160,116,167,134,61%,55%,44%,4.04,,,,,,,,,,,
ECON,Scottish Journal of Political Economy,2,2,239,277,279,222,53%,45%,21%,0.659,,,,,,,,,,,
ECON,Southern Economic Journal,2,2,200,190,156,172,51%,28%,19%,1.149,,,,,,,,,,,
ECON,Spatial Economic Analysis,2,2,62,148,141,102,44%,40%,23%,0.687,,,,,,,,,,,
ECON,Stata Journal,2,2,64,33,47,41,4%,43%,22%,2.936,,,,,,,,,,,
ECON,Statistics and Probability Letters,2,2,251,229,190,229,1%,34%,15%,0.017,,,,,,,,,,,
ECON,Studies in Nonlinear Dynamics and Econometrics,2,2,271,270,212,205,36%,50%,21%,0.299,,,,,,,,,,,
ECON,World Bank Research Observer,2,2,36,24,48,28,88%,36%,26%,22.023,,,,,,,,,,,
ECON,World Economy,2,2,175,151,163,143,64%,50%,26%,2.149,,,,,,,,,,,
ECON,Advances in Austrian Economics,1,1,300,287,316,,18%,11%,0%,0.05,,,,,,,,,,,
ECON,Advances in Decision Sciences,1,,224,296,308,,40%,68%,30%,0,,,,,,,,,,,
ECON,Agrekon,1,1,269,288,276,208,94%,45%,28%,0.388,,,,,,,,,,,
ECON,Agricultural and Resource Economics Review,1,1,172,261,220,,63%,23%,39%,0.603,,,,,,,,,,,
ECON,Annals of Economics and Statistics,1,1,328,322,318,,66%,48%,63%,0.742,,,,,,,,,,,
ECON,Applied Economic Analysis,1,,290,315,261,233,72%,23%,19%,0.833,,,,,,,,,,,
ECON,Applied Economics Letters,1,1,245,289,248,214,51%,30%,16%,0.372,,,,,,,,,,,
ECON,Applied Health Economics and Heath Policy,1,,55,145,116,49,59%,41%,50%,0.88,,,,,,,,,,,
ECON,Aquaculture Economics and Management,1,,38,101,117,45,85%,33%,37%,0.252,,,,,,,,,,,
ECON,Asian Economic Journal,1,1,297,312,303,232,71%,29%,19%,0.5,,,,,,,,,,,
ECON,Asian Economic Papers,1,1,219,182,210,212,81%,42%,27%,0.957,,,,,,,,,,,
ECON,Atlantic Economic Journal,1,1,326,326,319,,55%,24%,15%,0.84,,,,,,,,,,,
ECON,Australian Economic Papers,1,1,271,286,264,204,54%,42%,11%,0.106,,,,,,,,,,,
ECON,Australian Economic Review,1,1,282,281,291,230,47%,15%,19%,1.092,,,,,,,,,,,
ECON,Baltic Journal of Economics,1,1,182,196,290,182,71%,29%,39%,0.816,,,,,,,,,,,
ECON,Behavioural Public Policy,1,1,,,,,28%,34%,20%,3.03,,,,,,,,,,,
ECON,Bulletin of Indonesian Economic Studies,1,1,80,65,127,125,93%,45%,24%,1.881,,,,,,,,,,,
ECON,Business Economics,1,1,294,276,228,,69%,13%,15%,0.783,,,,,,,,,,,
ECON,China Agricultural Economic Review,1,1,117,181,155,126,87%,52%,26%,0.341,,,,,,,,,,,
ECON,China and World Economy,1,1,141,163,164,145,92%,34%,23%,0.728,,,,,,,,,,,
ECON,China Economic Journal,1,1,216,192,227,,90%,22%,19%,0.563,,,,,,,,,,,
ECON,Cogent Economics and Finance,1,1,238,238,277,,71%,25%,12%,0.202,,,,,,,,,,,
ECON,Comparative Economic Studies,1,1,240,231,270,,71%,51%,37%,1.346,,,,,,,,,,,
ECON,Computational Economics,1,1,157,208,241,166,27%,35%,19%,0.223,,,,,,,,,,,
ECON,Constitutional Political Economy,1,1,290,273,275,,44%,37%,16%,0.304,,,,,,,,,,,
ECON,Contemporary Economics,1,,196,210,307,,67%,33%,14%,0.024,,,,,,,,,,,
ECON,Credit and Capital Markets,1,1,332,333,331,,59%,21%,14%,0.5,,,,,,,,,,,
ECON,De Economist,1,1,278,304,288,218,60%,35%,47%,2.485,,,,,,,,,,,
ECON,Decisions in Economics and Finance,1,1,280,321,312,,14%,41%,15%,0.007,,,,,,,,,,,
ECON,Dynamic Games and Applications,1,1,111,91,191,163,9%,37%,25%,0.438,,,,,,,,,,,
ECON,Eastern Economic Journal,1,1,284,309,301,,51%,18%,15%,0.686,,,,,,,,,,,
ECON,Eastern European Economics,1,1,211,226,268,198,67%,37%,24%,0.496,,,,,,,,,,,
ECON,Econometrics,1,1,214,168,150,,20%,50%,24%,1.113,,,,,,,,,,,
ECON,EconomiA,1,,257,264,266,,69%,22%,28%,0.908,,,,,,,,,,,
ECON,Economia Agraria y Recursos Naturales,1,,300,297,294,,68%,18%,31%,0.265,,,,,,,,,,,
ECON,Economic Analysis and Policy,1,1,93,114,146,56,75%,42%,19%,0.617,,,,,,,,,,,
ECON,Economic and Social Review,1,1,286,246,272,215,63%,31%,34%,0,,,,,,,,,,,
ECON,Economic Change and Restructuring,1,1,119,108,207,,69%,37%,15%,0.236,,,,,,,,,,,
ECON,Economic Issues,1,,,,,,,,,,,,,,,,,,,,
ECON,Economic Notes,1,1,276,284,299,,63%,30%,24%,3.816,,,,,,,,,,,
ECON,Economic Research-Ekonomska Istraživanja,1,,110,129,208,106,59%,35%,17%,0.242,,,,,,,,,,,
ECON,Economics and Business Letters,1,1,322,330,325,,53%,32%,12%,0.124,,,,,,,,,,,
ECON,Economics and Sociology,1,1,95,149,215,,66%,39%,19%,0.051,,,,,,,,,,,
ECON,Economics of Energy and Environmental Policy,1,1,58,200,109,101,73%,48%,32%,1.202,,,,,,,,,,,
ECON,Economics of Governance,1,1,275,272,267,211,52%,30%,12%,0.584,,,,,,,,,,,
ECON,Economics of Transportation,1,1,81,98,107,71,48%,48%,28%,2.542,,,,,,,,,,,
ECON,Economies,1,1,214,199,236,,78%,35%,16%,0.388,,,,,,,,,,,
ECON,Economists' Voice,1,1,329,332,333,,66%,33%,25%,0.509,,,,,,,,,,,
ECON,Education Economics,1,1,196,174,214,,64%,30%,31%,2.52,,,,,,,,,,,
ECON,Ekonomicheskaya Politika / Economic Policy,1,,306,302,284,,78%,11%,32%,0.021,,,,,,,,,,,
ECON,Ekonomista,1,,334,334,332,,55%,5%,9%,0,,,,,,,,,,,
ECON,Empirica,1,1,216,228,259,196,67%,46%,33%,1.064,,,,,,,,,,,
ECON,Environmental Economics and Policy Studies,1,1,124,256,181,,98%,44%,30%,1.167,,,,,,,,,,,
ECON,Eurasian Economic Review,1,1,178,189,234,,70%,33%,16%,0.484,,,,,,,,,,,
ECON,European Journal of Economics and Economic Policies: Intervention,1,1,302,237,195,,58%,65%,19%,0.609,,,,,,,,,,,
ECON,European Journal of Law and Economics,1,1,205,242,239,219,41%,37%,28%,0.759,,,,,,,,,,,
ECON,FinanzArchiv,1,1,304,303,281,240,64%,24%,19%,0.962,,,,,,,,,,,
ECON,Forum for Health Economics and Policy,1,1,277,311,238,,46%,19%,35%,1.077,,,,,,,,,,,
ECON,Foundations and Trends in Econometrics,1,1,19,28,102,,17%,33%,0%,2,,,,,,,,,,,
ECON,Games,1,1,263,293,256,,16%,50%,18%,0.098,,,,,,,,,,,
ECON,Global Economic Review,1,1,288,292,274,216,73%,40%,14%,0.243,,,,,,,,,,,
ECON,Global Economy Journal,1,1,319,328,320,,68%,28%,13%,0.119,,,,,,,,,,,
ECON,Global Journal of Emerging Market Economies,1,,309,318,330,,91%,34%,20%,0.379,,,,,,,,,,,
ECON,Hacienda Pública Española,1,,325,320,322,245,57%,13%,21%,0.183,,,,,,,,,,,
ECON,Interdisciplinary Journal of Economics and Business Law,1,,,,,,,,,,,,,,,,,,,,
ECON,Intereconomics,1,1,282,268,286,,52%,18%,17%,2.219,,,,,,,,,,,
ECON,International Advances in Economic Research,1,1,321,319,327,,55%,29%,8%,0.189,,,,,,,,,,,
ECON,International Economic Journal,1,1,296,308,310,,79%,29%,15%,0.245,,,,,,,,,,,
ECON,International Economics,1,,98,134,161,,64%,46%,36%,1.27,,,,,,,,,,,
ECON,International Game Theory Review,1,1,314,295,306,,11%,34%,23%,0.023,,,,,,,,,,,
ECON,International Journal of Computational Economics and Econometrics,1,1,312,331,315,,35%,46%,15%,0.04,,,,,,,,,,,
ECON,International Journal of Ecological Economics and Statistics,1,1,202,326,326,,94%,20%,10%,0,,,,,,,,,,,
ECON,International Journal of Happiness and Development,1,,,,,,,,,,,,,,,,,,,,
ECON,International Journal of Political Economy,1,1,240,224,271,,67%,19%,6%,1.313,,,,,,,,,,,
ECON,International Journal of Social Economics,1,1,280,283,243,,89%,27%,14%,0.229,,,,,,,,,,,
ECON,International Review of Applied Economics,1,1,215,237,191,,78%,31%,12%,0.602,,,,,,,,,,,
ECON,Jahrbucher fur Nationalokonomie und Statistik,1,1,236,221,203,207,43%,16%,35%,4.993,,,,,,,,,,,
ECON,Japan and the World Economy,1,1,235,257,244,176,55%,24%,24%,0.652,,,,,,,,,,,
ECON,Japanese Economic Review,1,1,313,295,311,243,35%,37%,17%,0.331,,,,,,,,,,,
ECON,Japanese Political Economy,1,1,,,,,65%,38%,4%,0.345,,,,,,,,,,,
ECON,Journal for Labour Market Research,1,1,161,197,157,,86%,55%,50%,3.857,,,,,,,,,,,
ECON,Journal of Agricultural & Applied Economics,1,1,198,230,246,,48%,17%,27%,0.348,,,,,,,,,,,
ECON,Journal of Agricultural and Food Industrial Organization,1,1,327,300,290,,46%,41%,33%,0.443,,,,,,,,,,,
ECON,Journal of Air Transport Management,1,1,59,98,31,50,32%,33%,16%,0.443,,,,,,,,,,,
ECON,Journal of Applied Economics,1,1,244,252,246,195,68%,37%,19%,0.685,,,,,,,,,,,
ECON,Journal of Asian Economics,1,1,109,179,144,76,82%,44%,25%,0.85,,,,,,,,,,,
ECON,Journal of Bioeconomics,1,1,251,229,129,,43%,52%,22%,0.862,,,,,,,,,,,
ECON,Journal of Choice Modelling,1,1,141,119,93,77,21%,47%,23%,0.245,,,,,,,,,,,
ECON,Journal of Competition Law & Economics,1,,178,218,266,221,15%,42%,32%,1.108,,,,,,,,,,,
ECON,Journal of Developing Areas,1,,,,,,,,,,,,,,,,,,,,
ECON,Journal of Econometric Methods,1,1,104,296,252,,11%,60%,32%,4.213,,,,,,,,,,,
ECON,Journal of Economic and Administrative Sciences,1,,,,,,,,,,,,,,,,,,,,
ECON,Journal of Economic and Financial Sciences,1,,,,,,,,,,,,,,,,,,,,
ECON,Journal of Economic Asymmetries,1,,186,243,209,,56%,40%,18%,0.174,,,,,,,,,,,
ECON,Journal of Economic Cooperation and Development,1,,310,329,322,,82%,23%,13%,0,,,,,,,,,,,
ECON,Journal of Economic Education,1,1,179,233,229,191,26%,7%,10%,0.2,,,,,,,,,,,
ECON,Journal of Economic Integration,1,1,203,273,265,,74%,46%,22%,0.816,,,,,,,,,,,
ECON,Journal of Economic Interaction and Coordination,1,1,191,217,147,157,39%,30%,29%,0.286,,,,,,,,,,,
ECON,Journal of Economic Policy Reform,1,1,194,211,117,128,69%,35%,18%,1,,,,,,,,,,,
ECON,Journal of Gambling Business and Economics,1,,,,,,,,,,,,,,,,,,,,
ECON,Journal of Income Distribution,1,,,,,,,,,,,,,,,,,,,,
ECON,Journal of Industrial and Business Economics,1,1,258,209,154,,58%,37%,19%,1,,,,,,,,,,,
ECON,Journal of Interdisciplinary Economics,1,1,263,311,269,,65%,27%,15%,0.13,,,,,,,,,,,
ECON,Journal of International Trade and Economic Development,1,1,184,232,182,173,77%,43%,18%,0.472,,,,,,,,,,,
ECON,Journal of Mechanism and Institution Design,1,,,,,,,,,,,,,,,,,,,,
ECON,Journal of Media Economics,1,1,222,297,285,231,17%,27%,21%,0.379,,,,,,,,,,,
ECON,Journal of the Asia Pacific Economy,1,1,262,263,204,193,90%,43%,22%,0.618,,,,,,,,,,,
ECON,Journal of the Economic Science Association,1,,,,,,,,,,,,,,,,,,,,
ECON,Man and the Economy,1,,,,,,,,,,,,,,,,,,,,
ECON,Metroeconomica,1,1,153,121,182,177,56%,43%,13%,0.299,,,,,,,,,,,
ECON,Mineral Economics,1,1,195,244,153,,64%,26%,25%,1.481,,,,,,,,,,,
ECON,Montenegrin Journal of Economics,1,,188,249,168,,71%,25%,25%,0.016,,,,,,,,,,,
ECON,National Institute Economic Review,1,1,234,226,205,,58%,20%,27%,3.682,,,,,,,,,,,
ECON,Natural Resources Journal,1,1,314,305,305,223,63%,8%,3%,0,,,,,,,,,,,
ECON,NETNOMICS: Economic Research and Electronic Networking,1,1,249,250,192,,60%,34%,37%,0.314,,,,,,,,,,,
ECON,New Zealand Economic Papers,1,1,275,269,286,,53%,27%,27%,1.315,,,,,,,,,,,
ECON,Peace Economics Peace Science and Public Policy,1,1,307,292,307,,54%,34%,13%,0.381,,,,,,,,,,,
ECON,Portuguese Economic Journal,1,1,306,317,295,238,67%,36%,20%,0.426,,,,,,,,,,,
ECON,Post-Communist Economies,1,1,205,230,199,174,75%,46%,25%,0.485,,,,,,,,,,,
ECON,PSL Quarterly Review,1,,241,282,312,,69%,36%,25%,0.029,,,,,,,,,,,
ECON,Quantitative Finance and Economics,1,,,,,,,,,,,,,,,,,,,,
ECON,Quarterly Journal of Austrian Economics,1,1,316,299,328,,25%,39%,10%,0.109,,,,,,,,,,,
ECON,Research in Economics,1,1,188,227,154,,42%,44%,20%,1.689,,,,,,,,,,,
ECON,Research in Transportation Economics,1,1,90,156,124,,75%,35%,24%,0.861,,,,,,,,,,,
ECON,Review of Austrian Economics,1,1,280,265,271,,26%,17%,9%,0.418,,,,,,,,,,,
ECON,Review of Economic Analysis,1,1,333,335,335,,67%,36%,12%,0,,,,,,,,,,,
ECON,Review of Economics and Political Science,1,,,,,67%,15%,15%,0.167,,,,,,,,,,,,
ECON,Review of Financial Economics,1,1,226,255,246,,43%,35%,12%,0.187,,,,,,,,,,,
ECON,Review of Radical Political Economics,1,1,252,204,219,,55%,31%,9%,0.288,,,,,,,,,,,
ECON,Russian Journal of Economics,1,,227,122,222,,76%,27%,30%,1.078,,,,,,,,,,,
ECON,SERIEs,1,1,252,230,194,,69%,30%,21%,2.663,,,,,,,,,,,
ECON,South African Journal of Economic and Management Sciences,1,,234,279,302,,75%,16%,10%,0.105,,,,,,,,,,,
ECON,South African Journal of Economics,1,1,164,217,240,,88%,50%,22%,1.406,,,,,,,,,,,
ECON,South Asia Economic Journal,1,1,303,316,314,,98%,27%,17%,0.338,,,,,,,,,,,
ECON,Statistical Analysis and Data Mining,1,1,164,243,216,,12%,16%,28%,0.082,,,,,,,,,,,
ECON,Strategic Behavior and the Environment,1,,,,,,,,,,,,,,,,,,,,
ECON,Studies in Agricultural Economics,1,1,234,274,287,,81%,47%,23%,0.202,,,,,,,,,,,
ECON,Studies in Economics and Finance,1,1,258,282,285,,46%,37%,17%,0.115,,,,,,,,,,,
ECON,Studies in Microeconomics,1,,329,291,334,,65%,25%,5%,0.073,,,,,,,,,,,
ECON,Swiss Journal of Economics and Statistics,1,1,222,271,189,,53%,31%,29%,2.647,,,,,,,,,,,
ECON,The Forum for Social Economics,1,1,236,233,304,,62%,39%,15%,0.588,,,,,,,,,,,
ECON,The Journal of Retirement,1,,315,298,298,,26%,31%,26%,0.279,,,,,,,,,,,
ECON,Tijdschrift Voor Economische en Sociale Geografie,1,1,106,180,157,,56%,41%,15%,0.52,,,,,,,,,,,
ENT-SBM,Entrepreneurship Theory and Practice,4*,,1,2,2,,31%,62%,6%,1.02,,,,,,,,,,,
ENT-SBM,Journal of Business Venturing,4*,,2,1,1,,34%,61%,9%,1.273,,,,,,,,,,,
ENT-SBM,Strategic Entrepreneurship Journal,4,4,4,4,3,,52%,56%,13%,0.694,,,,,,,,,,,
ENT-SBM,Entrepreneurship and Regional Development,3,3,10,10,9,,57%,52%,9%,0.493,,,,,,,,,,,
ENT-SBM,Family Business Review,3,3,3,3,4,,12%,52%,6%,0.111,,,,,,,,,,,
ENT-SBM,International Journal of Entrepreneurial Behaviour and Research,3,3,11,11,12,,53%,40%,7%,0.255,,,,,,,,,,,
ENT-SBM,International Small Business Journal,3,3,5,6,6,,43%,45%,10%,0.637,,,,,,,,,,,
ENT-SBM,Journal of Small Business Management,3,3,7,7,7,,40%,46%,12%,0.508,,,,,,,,,,,
ENT-SBM,Small Business Economics,3,3,6,5,5,,64%,52%,21%,1.794,,,,,,,,,,,
ENT-SBM,Entrepreneurship Research Journal,2,2,22,23,21,,36%,35%,13%,0.138,,,,,,,,,,,
ENT-SBM,International Journal of Entrepreneurship and Innovation,2,2,19,22,18,,54%,29%,11%,0.289,,,,,,,,,,,
ENT-SBM,International Journal of Entrepreneurship and Small Business,2,2,25,25,23,,54%,29%,13%,0.053,,,,,,,,,,,
ENT-SBM,International Review of Entrepreneurship,2,,,,,,,,,,,,,,,,,,,,
ENT-SBM,Journal of Business Venturing Insights,2,2,12,15,10,,39%,48%,10%,0.665,,,,,,,,,,,
ENT-SBM,Journal of Family Business Strategy,2,2,8,9,8,,20%,51%,12%,0.09,,,,,,,,,,,
ENT-SBM,Journal of Research in Marketing and Entrepreneurship,2,,24,24,26,,44%,36%,13%,0.063,,,,,,,,,,,
ENT-SBM,Journal of Small Business and Enterprise Development,2,2,14,12,15,,54%,39%,8%,0.194,,,,,,,,,,,
ENT-SBM,Journal of Social Entrepreneurship,2,2,16,14,16,,38%,36%,8%,0.28,,,,,,,,,,,
ENT-SBM,Venture Capital,2,2,15,16,13,,79%,31%,12%,1.382,,,,,,,,,,,
ENT-SBM,International Entrepreneurship and Management Journal,1,1,9,8,11,,55%,46%,8%,0.202,,,,,,,,,,,
ENT-SBM,International Journal of Entrepreneurial Venturing,1,1,27,26,25,,43%,40%,16%,0.031,,,,,,,,,,,
ENT-SBM,International Journal of Management and Enterprise Development,1,1,31,29,29,,48%,28%,20%,0.022,,,,,,,,,,,
ENT-SBM,International Journal of Small and Medium Enterprises,1,,,,,,,,,,,,,,,,,,,,
ENT-SBM,Journal of Enterprising Communities,1,1,18,19,20,,78%,36%,11%,0.28,,,,,,,,,,,
ENT-SBM,Journal of Enterprising Culture,1,,,,,,,,,,,,,,,,,,,,
ENT-SBM,Journal of Entrepreneurship,1,1,20,17,17,,44%,36%,10%,0.213,,,,,,,,,,,
ENT-SBM,Journal of Entrepreneurship and Innovation in Emerging Economies,1,,29,,,64%,38%,13%,1.014,,,,,,,,,,,,
ENT-SBM,Journal of Entrepreneurship and Public Policy,1,1,28,27,27,,78%,23%,12%,0.352,,,,,,,,,,,
ENT-SBM,Journal of Entrepreneurship in Emerging Economies,1,1,17,13,19,,87%,35%,13%,0.167,,,,,,,,,,,
ENT-SBM,Journal of Entrepreneurship Management and Innovation,1,,32,,,58%,26%,13%,0.1,,,,,,,,,,,,
ENT-SBM,Journal of International Entrepreneurship,1,1,13,18,14,,47%,42%,13%,0.167,,,,,,,,,,,
ENT-SBM,Journal of Small Business and Entrepreneurship,1,1,21,20,24,,65%,38%,10%,0.284,,,,,,,,,,,
ENT-SBM,Small Business International Review,1,,,,,,,,,,,,,,,,,,,,
ENT-SBM,Small Enterprise Research,1,1,23,,,57%,25%,14%,0.293,,,,,,,,,,,,
ENT-SBM,Social Enterprise Journal,1,1,26,21,22,,51%,31%,10%,0.314,,,,,,,,,,,
ENT-SBM,World Review of Entrepreneurship Management and Sustainable Development,1,1,30,28,28,,72%,27%,12%,0.02,,,,,,,,,,,
ETHICS-CSR-MAN,Academy of Management Annals,4*,4*,1,1,1,,11%,61%,4%,1.634,,,,,,,,,,,
ETHICS-CSR-MAN,Academy of Management Journal,4*,4*,4,6,3,,22%,58%,12%,0.394,,,,,,,,,,,
ETHICS-CSR-MAN,Academy of Management Review,4*,4*,6,4,4,,7%,49%,9%,0.39,,,,,,,,,,,
ETHICS-CSR-MAN,Administrative Science Quarterly,4*,4*,5,5,2,,39%,52%,8%,1.124,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Management,4*,4*,2,2,5,,22%,53%,17%,0.587,,,,,,,,,,,
ETHICS-CSR-MAN,Academy of Management Perspectives,4,4,11,9,8,,20%,46%,8%,0.52,,,,,,,,,,,
ETHICS-CSR-MAN,British Journal of Management,4,4,15,19,13,,36%,57%,9%,0.269,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Management Studies,4,4,8,11,6,,26%,66%,13%,0.368,,,,,,,,,,,
ETHICS-CSR-MAN,Academy of Management Discoveries,3,3,,,19,,19%,47%,17%,0.321,,,,,,,,,,,
ETHICS-CSR-MAN,Business and Society,3,3,9,14,10,,60%,49%,9%,0.618,,,,,,,,,,,
ETHICS-CSR-MAN,Business Ethics Quarterly,3,4,25,27,17,,35%,55%,6%,0.214,,,,,,,,,,,
ETHICS-CSR-MAN,California Management Review,3,3,7,8,9,,42%,58%,27%,1,,,,,,,,,,,
ETHICS-CSR-MAN,European Management Review,3,3,44,50,33,,33%,47%,15%,0.3,,,,,,,,,,,
ETHICS-CSR-MAN,Gender and Society,3,3,21,10,11,,78%,24%,10%,1.14,,,,,,,,,,,
ETHICS-CSR-MAN,Gender Work and Organization,3,3,29,22,19,,72%,30%,7%,0.96,,,,,,,,,,,
